county,year,average_price
Mayo,2021,166570.7172721519
Galway,2012,165919.86905290102
Kerry,2018,165435.8757803121
Louth,2016,165069.40346857597
Limerick,2017,165069.37811607993
Kilkenny,2015,164332.53073076924
Laois,2010,164330.70039274925
Sligo,2010,163176.75413043477
Cavan,2020,161779.74955617197
Kerry,2011,161685.45972027973
Laois,2018,161401.24618593563
Tipperary,2010,161319.6350990991
Westmeath,2017,161151.91956913826
Westmeath,2010,160579.5730487805
Longford,2021,160369.76988562092
Offaly,2010,159533.0136065574
Tipperary,2019,159231.57566026412
Longford,2022,159024.82998178506
Mayo,2010,158670.48117924528
Clare,2011,158343.7315704388
Offaly,2019,158191.89893767706
Louth,2011,157540.27645021645
Wexford,2017,157340.63677789934
Tipperary,2020,157263.32734982332
Galway,2013,156479.46848045397
Laois,2016,155578.56509578545
Galway,2014,155536.49703658035
Kerry,2017,153708.3528177458
Laois,2017,153549.7198989899
Waterford,2017,153340.63976361032
Monaghan,2010,153118.3990045249
Monaghan,2019,152511.09524296675
Donegal,2021,152340.16963550853
Offaly,2018,151671.49574018127
Donegal,2010,151652.90092767295
Waterford,2011,149682.09700197238
Sligo,2019,148797.13363218392
Carlow,2017,148150.6989925373
Limerick,2012,147986.66529131986
Kerry,2016,147541.33802006688
Tipperary,2018,146905.38379975123
Sligo,2020,146853.04594074073
Wexford,2016,146778.16086797067
Roscommon,2021,145811.90354010696
Mayo,2020,145102.5624819856
Cavan,2019,145007.93252403845
Monaghan,2018,144860.9987327189
Kerry,2012,144509.0756167979
Limerick,2016,144395.98360165118
Wexford,2011,143034.38292332267
Leitrim,2021,142808.30949820788
Louth,2015,142568.88367647058
Offaly,2017,142104.1297398844
Cavan,2010,142040.34561056105
Donegal,2020,141617.78527154235
Tipperary,2011,141440.88796370968
Louth,2012,140001.46890881914
Mayo,2019,139966.04318423048
Sligo,2018,139772.56967436973
Mayo,2011,139630.57796536796
Kilkenny,2014,139542.97642547032
Limerick,2013,139240.67851570965
Waterford,2016,139160.3888016249
Carlow,2011,138394.08579234974
Kerry,2015,138089.57529741077
Carlow,2016,137853.81336448598
Monaghan,2017,137742.12703157894
Roscommon,2010,137590.4386013986
Limerick,2015,137188.11325123152
Kilkenny,2012,137168.37400862068
Longford,2010,136419.50648275862
Sligo,2017,135738.0172087068
Westmeath,2011,135536.795799458
Mayo,2018,133453.90494565218
Offaly,2011,132967.97195238096
Tipperary,2017,132881.77665615143
Longford,2020,132846.0662
Wexford,2015,132568.92154258487
Cavan,2018,132536.7272450176
Westmeath,2016,132374.3807560484
Westmeath,2015,132257.99191358025
Cavan,2011,132019.26032608695
Clare,2012,131900.07385813148
Kilkenny,2013,131891.0393081761
Kerry,2013,131428.1719727891
Mayo,2017,131053.63535603715
Monaghan,2011,130321.36697986576
Waterford,2015,130021.2112071651
Louth,2014,129243.6227815126
Donegal,2011,128629.15835205992
Louth,2013,128559.90990861619
Leitrim,2010,128098.37825174825
Kerry,2014,126937.70398687449
Carlow,2015,126740.7390926276
Donegal,2019,126491.71246945337
Laois,2015,126477.43828358209
Tipperary,2016,125973.54230272597
Waterford,2012,125513.86583050847
Roscommon,2019,125455.9563202934
Laois,2011,125343.03474006116
Wexford,2012,124732.91489968321
Leitrim,2020,124574.0197752809
Sligo,2015,124545.83397913561
Clare,2015,124080.88652719665
Tipperary,2012,123505.22215686274
Longford,2019,123217.18967032967
Wexford,2014,123070.4726746507
Waterford,2014,122122.34175176056
Tipperary,2015,122076.12463338533
Cavan,2017,121757.35059241706
Offaly,2012,120478.40238255034
Roscommon,2020,120335.97036486487
Limerick,2014,120010.15187081048
Donegal,2017,119408.64734831461
Waterford,2013,118857.00747989277
Clare,2014,118578.14659025788
Donegal,2018,118548.47380442063
Monaghan,2016,118268.1724213075
